id,brand,name,category,save_as,search_query
"p00037","Rosier","Rosier Bilona A2 Gir Ghee (Made from Curd)","Grocery Staples","img/p00037.jpg","Rosier Rosier Bilona A2 Gir Ghee (Made from Curd)"
"p00126","Maggi","Maggi Nutrilicious Veg Atta Noodles Made with Only Atta Flour","Instant & Frozen","img/p00126.jpg","Maggi Maggi Nutrilicious Veg Atta Noodles Made with Only Atta Flour"
"p00161","Banana","Banana","Fruits & Vegetables","img/p00161.jpg","Banana Banana"
"p00177","Thai","Thai Guava (Amrud)","Fruits & Vegetables","img/p00177.jpg","Thai Thai Guava (Amrud)"
"p00188","Organically","Organically Grown Brown Coconut","Fruits & Vegetables","img/p00188.jpg","Organically Organically Grown Brown Coconut"
"p00221","Surf Excel","Surf Excel Easy Wash Detergent Powder","Home & Cleaning","img/p00221.jpg","Surf Excel Surf Excel Easy Wash Detergent Powder"
"p00222","Wheel","Wheel Active 2 in 1 Detergent Powder","Home & Cleaning","img/p00222.jpg","Wheel Wheel Active 2 in 1 Detergent Powder"
"p00223","Rin","Rin Detergent Bar","Home & Cleaning","img/p00223.jpg","Rin Rin Detergent Bar"
"p00224","Surf Excel","Surf Excel Stain Eraser Detergent Bar 80 g","Home & Cleaning","img/p00224.jpg","Surf Excel Surf Excel Stain Eraser Detergent Bar 80 g"
"p00232","Surf Excel","Surf Excel Quick Wash Detergent Powder","Home & Cleaning","img/p00232.jpg","Surf Excel Surf Excel Quick Wash Detergent Powder"
"p00287","420","420 Rolling Tray - LIT","Home & Cleaning","img/p00287.jpg","420 420 Rolling Tray - LIT"
"p00315","Hookah","Hookah Pipe By Pravāh","Home & Cleaning","img/p00315.jpg","Hookah Hookah Pipe By Pravāh"
"p00347","ITC","ITC Master Chef Large Prawns Peeled & Deveined","Meat Fish & Eggs","img/p00347.jpg","ITC ITC Master Chef Large Prawns Peeled & Deveined"
