file,id,brand,name,category
"p00224.jpg",p00224,"Surf Excel","Surf Excel Stain Eraser Detergent Bar 80 g","Household Needs"
"p00497.jpg",p00497,"Boltz","Boltz Dried Blood Worms Fish Food","Diverse Pet Food"
"p00955.jpg",p00955,"Amul","Amul Butterscotch Bliss Ice Cream Tub","Ice Cream Frozen Dessert"
"p01953.jpg",p01953,"Quaker","Quaker Rolled Instant Oats","Oats"
"p02034.jpg",p02034,"Mother Dairy","Mother Dairy Full Cream Milk","Milk"
"p02058.jpg",p02058,"Mother Dairy","Mother Dairy Paneer","Paneer Tofu"
"p02087.jpg",p02087,"Amul","Amul Salted Butter (200 g)","Butter More"
"p02090.jpg",p02090,"Mother Dairy","Mother Dairy Salted Butter (500 g)","Butter More"
"p02103.jpg",p02103,"Harvest Gold","Harvest Gold White Bread","Bread Pav"
"p02105.jpg",p02105,"English Oven","English Oven Brown Bread","Bread Pav"
"p02169.jpg",p02169,"Mother Dairy","Mother Dairy - Dairy Whitener - Pack of 2","Cream Whitener"
"p02170.jpg",p02170,"Mother Dairy","Mother Dairy - Dairy Whitener","Cream Whitener"
"p02194.jpg",p02194,"Table","Table White White Eggs","Eggs"
"p02195.jpg",p02195,"Table","Table White Eggs (6 pcs)","Eggs"
"p02578.jpg",p02578,"Green Protein","Green Protein Crave Protein Bar","Energy Bars"
"p02581.jpg",p02581,"Phab","Phab 10g Protein Cookies & Cream Millet Wafer Bar","Energy Bars"
"p02648.jpg",p02648,"Tata Sampann","Tata Sampann Unpolished Green Moong (Sabut) Whole","Moong Masoor"
"p03020.jpg",p03020,"Harpic","Harpic Disinfectant Liquid Toilet Cleaner - (Original) Pack of 2","Toilet Bathroom Cleaners"
"p03021.jpg",p03021,"Harpic","Harpic Advanced Disinfectant Toilet Cleaner","Toilet Bathroom Cleaners"
"p03937.jpg",p03937,"Optimum Nutrition","Optimum Nutrition (ON) Gold Standard 100% Whey Protein - 152 g (Double Rich Choco)","Protein And Workout Supplements"
"p04341.jpg",p04341,"Thums Up","Thums Up Cola Soft Drink (750 ml) - Pack of 2","Soft Drinks"
"p04342.jpg",p04342,"Thums Up","Thums Up Soft Drink","Soft Drinks"
"p04528.jpg",p04528,"Mogu Mogu","Mogu Mogu Grape Fruit Drink with Nata De Coco - Pack of 2","Imported Beverages"
"p04529.jpg",p04529,"Mogu Mogu","Mogu Mogu Pineapple Fruit Drink - Pack of 4","Imported Beverages"
"p05131.jpg",p05131,"Lotus Biscoff","Lotus Biscoff Caramelized Cookies","Cookies"
"p05142.jpg",p05142,"Britannia","Britannia Good Day Chunkies Chocochip Cookies (75 g) - Pack of 2","Cookies"
"p05742.jpg",p05742,"Let's","Let's Try Signature Amritsari Tadka Namkeen","Namkeen Snacks"
"p05743.jpg",p05743,"Haldiram's","Haldiram's Classic Salted Peanuts","Namkeen Snacks"
"p05867.jpg",p05867,"4700BC","4700BC Microwave Cheese Popcorn with Seasoning - Pack of 3","Popcorn"
"p05875.jpg",p05875,"4700BC","4700BC Instant Barbeque Popcorn Jumbo Size","Popcorn"
"p06000.jpg",p06000,"Kurkure","Kurkure Masala Munch Crisps - Pack of 3","Chips Crisps"
"p06001.jpg",p06001,"Kurkure","Kurkure Masala Munch Crisps","Chips Crisps"
"p06493.jpg",p06493,"Ugaoo","Ugaoo Syngonium Pink Premium Plant with White Ibiza Pot","Flowers Leaves"
"p06495.jpg",p06495,"Onion","Onion Pack of 2 (Pyaz)","Fresh Vegetables"
"p06497.jpg",p06497,"Green","Green Chilli (Hari Mirch)","Fresh Vegetables"
"p06925.jpg",p06925,"Hammer","Hammer 65W Fast Charging Type C to Type C Cable","Electronic Accessories"
"p06926.jpg",p06926,"Hammer","Hammer 100W Fast Charging USB A to Type C Cable","Electronic Accessories"
"p07032.jpg",p07032,"Philips","Philips 8-in-1 Men's Beard Body Nose Hair Trimmer","Appliances"
