id,name,price,unit,category,top_category,subcategory,category_url,image_url
p00001,Sony PlayStation Instant Voucher,1000,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00002,Amazon Shopping Voucher,100,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00003,Amazon Prime Membership Subscription Voucher,340,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00004,Blinkit Instant Voucher,10,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00005,Blinkit Gift Card,1000,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00006,Steam Instant Voucher,149,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00007,Roblox Instant Voucher,931,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00008,Uber Instant Voucher,98,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00009,Domino's Pizza Instant Voucher,220,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00010,Nykaa Instant Voucher,485,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00011,Myntra Instant Voucher,245,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00012,Valorant Instant Voucher,431,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00013,Xbox Game Pass Ultimate Subscription Voucher,1046,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00014,Decathlon Instant Voucher,485,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00015,EatSure Instant Voucher,92,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00016,Cleartrip Hotel Instant Voucher,920,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00017,Westside Instant Voucher,250,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00018,Kalyan Gold Coins Instant Voucher,2000,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00019,Shoppers Stop Instant Voucher,500,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00020,Marks & Spencer Instant Voucher,920,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00021,Xbox Game Pass Core Subscription Voucher,480,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00022,Nintendo eShop Instant Voucher,4560,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00023,TATA CLiQ Instant Voucher,475,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00024,Hamleys Instant Voucher,920,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00025,KFC Instant Voucher,97,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00026,Lifestyle Instant Voucher,490,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00027,Zee5 FIFA WC + All Access Subscription Voucher,799,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00028,Baskin Robbins Instant Voucher,87,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00029,Jockey Instant Voucher,250,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00030,Reliance My Jio Store Instant Voucher,248,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00031,Tinder Gold Subscription Voucher,269,,E Cards,Gift Cards & Other,,https://blinkit.com/cn/e-cards/cid/416/4301,
p00032,Baidyanath Premium Desi Cow Ghee,629,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00033,Amul Pure Ghee,620,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00034,Country Delight Desi Danedar Cow Ghee - Pack of 2,1175,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00035,Country Delight Desi Danedar Cow Ghee,599,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00036,Mother Dairy Buffalo Ghee,626,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00037,Rosier Bilona A2 Gir Ghee (Made from Curd),2024,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00038,Amul Cow Ghee,651,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00039,Milkfood Rich Desi Ghee,296,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00040,Ananda Pure Ghee,300,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00041,Morhav A2 Gir Cow Ghee (Made from Grass-fed Curd),491,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00042,Patanjali Cow Ghee (1 l),732,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00043,Gowardhan Premium Cow Ghee,184,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00044,Manorma Desi Cow's Bilona A2 Ghee,1199,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00045,Mother Dairy Cow Ghee,156,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00046,Patanjali Cow Ghee,178,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00047,Amul Pure Ghee Pack,142,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
p00048,Aashirvaad Svasti Pure Cow Ghee,512,,Grocery Staples,Grocery Staples,Ghee Vanaspati,https://blinkit.com/cn/grocery-staples/ghee-vanaspati/cid/16/1158,
