id,name,price,unit,category,top_category,subcategory,category_url,image_url,local_image
p00855,Amulspray Baby Milk Powder,255,,Baby Food,Baby Care,,https://blinkit.com/cn/baby-food/cid/7/1590,,/images/p00855.svg
p00943,Apex Piano Gym Baby Play Mat (0+ months),735,,Baby Gear,Baby Care,,https://blinkit.com/cn/baby-gear/cid/7/6706,,/images/p00943.svg
p06882,I Can Color: Animals and Birds,89,,Baby Toddler Books,Baby Care,,https://blinkit.com/cn/baby-toddler-books/cid/1559/8816,,/images/p06882.svg
p00651,Little's Soft Cleansing Baby Wipes Lid Pack | Wet Wipes - Pack of 2,150,,Baby Wipes,Baby Care,,https://blinkit.com/cn/baby-wipes/cid/7/996,,/images/p00651.svg
p00673,Mother Sparsh Plant Powered Natural Baby Wipes,112,,Baby Wipes,Baby Care,,https://blinkit.com/cn/baby-wipes/cid/7/996,,/images/p00673.svg
p00809,Tuco Kids Kids Soap,322,,Bathing Needs,Baby Care,,https://blinkit.com/cn/bathing-needs/cid/7/1001,,/images/p00809.svg
p00597,"LuvLap Anti Spill Baby Sipper (150 ml, Green)",240,,Feeding Essentials,Baby Care,,https://blinkit.com/cn/feeding-essentials/cid/7/169,,/images/p00597.svg
p00628,Oyo Baby Blanket (Pink),257,,Nursing,Baby Care,,https://blinkit.com/cn/nursing/cid/7/597,,/images/p00628.svg
p05469,Sapphire Butter Biscuits Gift Pack (Gold Collection),299,,Biscuit Gift Pack,Bakery & Biscuits,,https://blinkit.com/cn/biscuit-gift-pack/cid/888/2380,,/images/p05469.svg
p02105,English Oven Brown Bread,60,,Bread Pav,Bakery & Biscuits,,https://blinkit.com/cn/bread-pav/cid/14/953,,/images/p02105.svg
p02102,English Oven Zero Maida Atta/ Wheat Bread,60,,Bread Pav,Bakery & Biscuits,,https://blinkit.com/cn/bread-pav/cid/14/953,,/images/p02102.svg
p02104,Harvest Gold Atta Whole Wheat Bread,65,,Bread Pav,Bakery & Biscuits,,https://blinkit.com/cn/bread-pav/cid/14/953,,/images/p02104.svg
p02103,Harvest Gold White Bread,65,,Bread Pav,Bakery & Biscuits,,https://blinkit.com/cn/bread-pav/cid/14/953,,/images/p02103.svg
p02125,Protein Chef 42g Protein Multigrain Bread - 5 Superfoods,69,,Bread Pav,Bakery & Biscuits,,https://blinkit.com/cn/bread-pav/cid/14/953,,/images/p02125.svg
p05127,Britannia Good Day Butter Cookies,35,,Cookies,Bakery & Biscuits,,https://blinkit.com/cn/cookies/cid/888/28,,/images/p05127.svg
p05142,Britannia Good Day Chunkies Chocochip Cookies (75 g) - Pack of 2,74,,Cookies,Bakery & Biscuits,,https://blinkit.com/cn/cookies/cid/888/28,,/images/p05142.svg
p05165,Britannia Tiger Krunch Choco chips Cookies - Pack of 2,132,,Cookies,Bakery & Biscuits,,https://blinkit.com/cn/cookies/cid/888/28,,/images/p05165.svg
p05126,Hide & Seek Chocolate Chip Cookies,48,,Cookies,Bakery & Biscuits,,https://blinkit.com/cn/cookies/cid/888/28,,/images/p05126.svg
p05131,Lotus Biscoff Caramelized Cookies,30,,Cookies,Bakery & Biscuits,,https://blinkit.com/cn/cookies/cid/888/28,,/images/p05131.svg
p05195,Oreo Golden Vanilla Sandwich Cream Biscuits (Family Pack),76,,Cream Biscuits,Bakery & Biscuits,,https://blinkit.com/cn/cream-biscuits/cid/888/105,,/images/p05195.svg
p05363,Britannia Vita Gold Marie Biscuits,145,,Glucose Marie,Bakery & Biscuits,,https://blinkit.com/cn/glucose-marie/cid/888/209,,/images/p05363.svg
p05452,The Baker's Dozen Dark Chocolate Cookies,225,,Gourmet Bakery,Bakery & Biscuits,,https://blinkit.com/cn/gourmet-bakery/cid/888/1959,,/images/p05452.svg
p01543,L'Oreal Paris Casting Creme Gloss 400 Creme Hair Colour (Dark Brown),268,,Hair Styling Treatment,Beauty,,https://blinkit.com/cn/hair-styling-treatment/cid/13/77,,/images/p01543.svg
p01574,PHC Metal Hair Band (Black),49,,Hair Styling Treatment,Beauty,,https://blinkit.com/cn/hair-styling-treatment/cid/13/77,,/images/p01574.svg
p01772,FAE Beauty Lip Whip Matte 12H Liquid Lipstick (Revenge),501,,Lip Cosmetics,Beauty,,https://blinkit.com/cn/lip-cosmetics/cid/13/196,,/images/p01772.svg
p01708,Lakme 9To5 Powerplay Priming Matte Lipstick (Mauve Matter),488,,Lip Cosmetics,Beauty,,https://blinkit.com/cn/lip-cosmetics/cid/13/196,,/images/p01708.svg
p01477,Laneige Glowy Tinted Lip Balm (Blueberry),675,,Lip Eye Care,Beauty,,https://blinkit.com/cn/lip-eye-care/cid/13/30,,/images/p01477.svg
p01487,RENEE Disney Moana Mini Tinted Lip Balm (Beachy Peachy),219,,Lip Eye Care,Beauty,,https://blinkit.com/cn/lip-eye-care/cid/13/30,,/images/p01487.svg
p01797,Faces Canada Ultime Pro Splash Mini Nail Paint Kit (Pastel Paradise),199,,Nail Cosmetics,Beauty,,https://blinkit.com/cn/nail-cosmetics/cid/13/202,,/images/p01797.svg
p03605,FURR Reusable German Blade Face Razor - Pack of 3,185,,Womens Grooming,Beauty,,https://blinkit.com/cn/womens-grooming/cid/163/1893,,/images/p03605.svg
p04458,Raw Pressery Coconut Water - Pack of 6,190,,Coconut Water,Beverages,,https://blinkit.com/cn/coconut-water/cid/332/1594,,/images/p04458.svg
p01291,Bru Instant Coffee,119,,Coffee,Beverages,,https://blinkit.com/cn/coffee/cid/12/1322,,/images/p01291.svg
p01287,Nescafe Classic - 100% Pure Instant Coffee Powder,230,,Coffee,Beverages,,https://blinkit.com/cn/coffee/cid/12/1322,,/images/p01287.svg
p01286,Nescafe Classic Black Roast Instant Coffee (Rich & Strong),404,,Coffee,Beverages,,https://blinkit.com/cn/coffee/cid/12/1322,,/images/p01286.svg
p01288,Nescafe Classic Pure Instant Coffee,135,,Coffee,Beverages,,https://blinkit.com/cn/coffee/cid/12/1322,,/images/p01288.svg
p01289,Sleepy Owl Assorted Instant Coffee,99,,Coffee,Beverages,,https://blinkit.com/cn/coffee/cid/12/1322,,/images/p01289.svg
p01359,Amul Kool Cafe Hazelnut Flavoured Milk,30,,Cold Coffee Ice Tea,Beverages,,https://blinkit.com/cn/cold-coffee-ice-tea/cid/12/1953,,/images/p01359.svg
p01344,Nestea Ice Tea Premix - Lemon Flavour,186,,Cold Coffee Ice Tea,Beverages,,https://blinkit.com/cn/cold-coffee-ice-tea/cid/12/1953,,/images/p01344.svg
p01336,Blendart Pure Chamomile Herbal Infusion Bags,279,,Green Flavoured Tea,Beverages,,https://blinkit.com/cn/green-flavoured-tea/cid/12/1605,,/images/p01336.svg
p01315,Girnar Detox Desi Kahwa,100,,Green Flavoured Tea,Beverages,,https://blinkit.com/cn/green-flavoured-tea/cid/12/1605,,/images/p01315.svg
p01314,Lipton Honey Lemon Green Tea Bags,172,,Green Flavoured Tea,Beverages,,https://blinkit.com/cn/green-flavoured-tea/cid/12/1605,,/images/p01314.svg
p01316,Lipton Lemongrass Ginger Green Tea Bags,168,,Green Flavoured Tea,Beverages,,https://blinkit.com/cn/green-flavoured-tea/cid/12/1605,,/images/p01316.svg
p01318,Tetley Lemon & Honey Green Tea Bags,169,,Green Flavoured Tea,Beverages,,https://blinkit.com/cn/green-flavoured-tea/cid/12/1605,,/images/p01318.svg
p01317,"Tetley Slim Care Green Tea Bags (With L-Carnitine, Ginger, Mint & Lemon)",177,,Green Flavoured Tea,Beverages,,https://blinkit.com/cn/green-flavoured-tea/cid/12/1605,,/images/p01317.svg
p01313,"Tetley Slim Care Green Tea Bags (With L-Carnitine, Lemon & Honey)",177,,Green Flavoured Tea,Beverages,,https://blinkit.com/cn/green-flavoured-tea/cid/12/1605,,/images/p01313.svg
p01340,Vahdam Chamomile Mint Citrus Green Tea Bags,208,,Green Flavoured Tea,Beverages,,https://blinkit.com/cn/green-flavoured-tea/cid/12/1605,,/images/p01340.svg
p01431,Blue Tea Chamomile Flower Herbal Infusion,299,,Herbal Infusion,Beverages,,https://blinkit.com/cn/herbal-infusion/cid/12/9352,,/images/p01431.svg
p01440,Kalprishi Blue Pea Herbal Infusion,151,,Herbal Infusion,Beverages,,https://blinkit.com/cn/herbal-infusion/cid/12/9352,,/images/p01440.svg
p01448,Tencha Hibiscus Flower Herbal Tea,299,,Herbal Infusion,Beverages,,https://blinkit.com/cn/herbal-infusion/cid/12/9352,,/images/p01448.svg
p01176,Cocosutra Hazelnut Hot Chocolate,99,,Hot Chocolate,Beverages,,https://blinkit.com/cn/hot-chocolate/cid/12/90,,/images/p01176.svg
p04527,Mogu Mogu Grape Fruit Drink with Nata De Coco,73,,Imported Beverages,Beverages,,https://blinkit.com/cn/imported-beverages/cid/332/2360,,/images/p04527.svg
p04528,Mogu Mogu Grape Fruit Drink with Nata De Coco - Pack of 2,143,,Imported Beverages,Beverages,,https://blinkit.com/cn/imported-beverages/cid/332/2360,,/images/p04528.svg
p04526,Mogu Mogu Grape Fruit Drink with Nata De Coco - Pack of 4,279,,Imported Beverages,Beverages,,https://blinkit.com/cn/imported-beverages/cid/332/2360,,/images/p04526.svg
p04533,Mogu Mogu Orange Fruit Drink,68,,Imported Beverages,Beverages,,https://blinkit.com/cn/imported-beverages/cid/332/2360,,/images/p04533.svg
p04530,Mogu Mogu Pineapple Fruit Drink,73,,Imported Beverages,Beverages,,https://blinkit.com/cn/imported-beverages/cid/332/2360,,/images/p04530.svg
p04531,Mogu Mogu Pineapple Fruit Drink - Pack of 2,143,,Imported Beverages,Beverages,,https://blinkit.com/cn/imported-beverages/cid/332/2360,,/images/p04531.svg
p04529,Mogu Mogu Pineapple Fruit Drink - Pack of 4,279,,Imported Beverages,Beverages,,https://blinkit.com/cn/imported-beverages/cid/332/2360,,/images/p04529.svg
p01371,Flurys Pure Chamomile Organic Herbal Infusion Bags,234,,Imported Tea Coffee,Beverages,,https://blinkit.com/cn/imported-tea-coffee/cid/12/2363,,/images/p01371.svg
p04338,B Natural Coconut Cola Soft Drink,57,,Soft Drinks,Beverages,,https://blinkit.com/cn/soft-drinks/cid/332/1102,,/images/p04338.svg
p04339,Coca-Cola Diet-Coke Diets & Lights - Pack of 6,297,,Soft Drinks,Beverages,,https://blinkit.com/cn/soft-drinks/cid/332/1102,,/images/p04339.svg
p04345,Coca-Cola Soft Drink,40,,Soft Drinks,Beverages,,https://blinkit.com/cn/soft-drinks/cid/332/1102,,/images/p04345.svg
p04340,Diet Coke Diets & Lights,50,,Soft Drinks,Beverages,,https://blinkit.com/cn/soft-drinks/cid/332/1102,,/images/p04340.svg
