name,price,unit,category,subcategory,category_url,image_url
Sony PlayStation Instant Voucher,1000,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Amazon Shopping Voucher,100,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Amazon Prime Membership Subscription Voucher,340,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Blinkit Instant Voucher,10,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Blinkit Gift Card,1000,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Steam Instant Voucher,149,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Roblox Instant Voucher,931,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Uber Instant Voucher,98,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Domino's Pizza Instant Voucher,220,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Nykaa Instant Voucher,485,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Myntra Instant Voucher,245,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Valorant Instant Voucher,431,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Xbox Game Pass Ultimate Subscription Voucher,1046,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Decathlon Instant Voucher,485,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
EatSure Instant Voucher,92,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Cleartrip Hotel Instant Voucher,920,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Westside Instant Voucher,250,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Kalyan Gold Coins Instant Voucher,2000,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Shoppers Stop Instant Voucher,500,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Marks & Spencer Instant Voucher,920,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Xbox Game Pass Core Subscription Voucher,480,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Nintendo eShop Instant Voucher,4560,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
TATA CLiQ Instant Voucher,475,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
Hamleys Instant Voucher,920,,E Cards,,https://blinkit.com/cn/e-cards/cid/416/4301,
